Name	MS2FormulaType	Q1	Q3	CE	Polarity	Formula	MS2Formula	IntegrationStartTime	IntegrationEndTime	Tags
PC_38:2	ConstantProduct	814.6320318656007	184.07332101418055		Positive	C46H89O8N1P1	C5H15O4N1P1	0	120	
PC_38:3	ConstantProduct	812.6163818014605	184.07332101418055		Positive	C46H87O8N1P1	C5H15O4N1P1	0	120	
PC_38:4	ConstantProduct	810.6007317373206	184.07332101418055		Positive	C46H85O8N1P1	C5H15O4N1P1	0	120	
PC_38:5	ConstantProduct	808.5850816731805	184.07332101418055		Positive	C46H83O8N1P1	C5H15O4N1P1	0	120	
PC_38:6	ConstantProduct	806.5694316090406	184.07332101418055		Positive	C46H81O8N1P1	C5H15O4N1P1	0	120	
PC_38:7	ConstantProduct	804.5537815449005	184.07332101418055		Positive	C46H79O8N1P1	C5H15O4N1P1	0	120	
PC_38:8	ConstantProduct	802.5381314807606	184.07332101418055		Positive	C46H77O8N1P1	C5H15O4N1P1	0	120	
PC_31:4	ConstantProduct	712.4911812883405	184.07332101418055		Positive	C39H71O8N1P1	C5H15O4N1P1	0	120	
PC_38:9	ConstantProduct	800.5224814166205	184.07332101418055		Positive	C46H75O8N1P1	C5H15O4N1P1	0	120	
PC_31:5	ConstantProduct	710.4755312242006	184.07332101418055		Positive	C39H69O8N1P1	C5H15O4N1P1	0	120	
PC_36:10	ConstantProduct	770.4755312242006	184.07332101418055		Positive	C44H69O8N1P1	C5H15O4N1P1	0	120	
PC_38:10	ConstantProduct	798.5068313524806	184.07332101418055		Positive	C46H73O8N1P1	C5H15O4N1P1	0	120	
PC_33:0	ConstantProduct	748.5850816731805	184.07332101418055		Positive	C41H83O8N1P1	C5H15O4N1P1	0	120	
PC_33:1	ConstantProduct	746.5694316090406	184.07332101418055		Positive	C41H81O8N1P1	C5H15O4N1P1	0	120	
PC_33:2	ConstantProduct	744.5537815449005	184.07332101418055		Positive	C41H79O8N1P1	C5H15O4N1P1	0	120	
PC_33:3	ConstantProduct	742.5381314807606	184.07332101418055		Positive	C41H77O8N1P1	C5H15O4N1P1	0	120	
PC_33:4	ConstantProduct	740.5224814166205	184.07332101418055		Positive	C41H75O8N1P1	C5H15O4N1P1	0	120	
PC_33:5	ConstantProduct	738.5068313524806	184.07332101418055		Positive	C41H73O8N1P1	C5H15O4N1P1	0	120	
PC_35:0	ConstantProduct	776.6163818014605	184.07332101418055		Positive	C43H87O8N1P1	C5H15O4N1P1	0	120	
PC_35:1	ConstantProduct	774.6007317373206	184.07332101418055		Positive	C43H85O8N1P1	C5H15O4N1P1	0	120	
PC_35:2	ConstantProduct	772.5850816731805	184.07332101418055		Positive	C43H83O8N1P1	C5H15O4N1P1	0	120	
PC_35:3	ConstantProduct	770.5694316090406	184.07332101418055		Positive	C43H81O8N1P1	C5H15O4N1P1	0	120	
PC_35:4	ConstantProduct	768.5537815449005	184.07332101418055		Positive	C43H79O8N1P1	C5H15O4N1P1	0	120	
PC_35:5	ConstantProduct	766.5381314807606	184.07332101418055		Positive	C43H77O8N1P1	C5H15O4N1P1	0	120	
PC_35:6	ConstantProduct	764.5224814166205	184.07332101418055		Positive	C43H75O8N1P1	C5H15O4N1P1	0	120	
PC_35:7	ConstantProduct	762.5068313524806	184.07332101418055		Positive	C43H73O8N1P1	C5H15O4N1P1	0	120	
PC_37:0	ConstantProduct	804.6476819297405	184.07332101418055		Positive	C45H91O8N1P1	C5H15O4N1P1	0	120	
PC_37:1	ConstantProduct	802.6320318656007	184.07332101418055		Positive	C45H89O8N1P1	C5H15O4N1P1	0	120	
PC_37:4	ConstantProduct	796.5850816731805	184.07332101418055		Positive	C45H83O8N1P1	C5H15O4N1P1	0	120	
PC_37:5	ConstantProduct	794.5694316090406	184.07332101418055		Positive	C45H81O8N1P1	C5H15O4N1P1	0	120	
PC_37:6	ConstantProduct	792.5537815449005	184.07332101418055		Positive	C45H79O8N1P1	C5H15O4N1P1	0	120	
PC_37:7	ConstantProduct	790.5381314807606	184.07332101418055		Positive	C45H77O8N1P1	C5H15O4N1P1	0	120	
PC_37:8	ConstantProduct	788.5224814166205	184.07332101418055		Positive	C45H75O8N1P1	C5H15O4N1P1	0	120	
PC_39:0	ConstantProduct	832.6789820580206	184.07332101418055		Positive	C47H95O8N1P1	C5H15O4N1P1	0	120	
PC_39:1	ConstantProduct	830.6633319938807	184.07332101418055		Positive	C47H93O8N1P1	C5H15O4N1P1	0	120	
PC_39:2	ConstantProduct	828.6476819297405	184.07332101418055		Positive	C47H91O8N1P1	C5H15O4N1P1	0	120	
PC_39:3	ConstantProduct	826.6320318656007	184.07332101418055		Positive	C47H89O8N1P1	C5H15O4N1P1	0	120	
PC_39:4	ConstantProduct	824.6163818014605	184.07332101418055		Positive	C47H87O8N1P1	C5H15O4N1P1	0	120	
PC_39:5	ConstantProduct	822.6007317373206	184.07332101418055		Positive	C47H85O8N1P1	C5H15O4N1P1	0	120	
PC_39:6	ConstantProduct	820.5850816731805	184.07332101418055		Positive	C47H83O8N1P1	C5H15O4N1P1	0	120	
